category,name,in_matlab,in_python,in_docs,script_exists,has_run_func,has_chebfun_style,has_docstring,has_savefig,script_lines,doc_exists,has_chebfun_link,chebfun_link,expected_link,link_matches,has_author,has_images_ref,image_refs,images_exist,images_missing,doc_lines,has_image,image_count,image_files
applics,BlackScholes2D,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/BlackScholes2D.html,False,False,False,,,,0,False,0,
applics,Bode2tf,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/Bode2tf.html,False,False,False,,,,0,False,0,
applics,EuropeanCall,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/EuropeanCall.html,False,False,False,,,,0,False,0,
applics,EuropeanOptions,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/EuropeanOptions.html,False,False,False,,,,0,False,0,
applics,Gompertz,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/Gompertz.html,False,False,False,,,,0,False,0,
applics,Greeks,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/Greeks.html,False,False,False,,,,0,False,0,
applics,Step2tf,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/Step2tf.html,False,False,False,,,,0,False,0,
applics,VanillaOptions,True,False,False,False,False,False,False,False,0,False,False,,https://www.chebfun.org/examples/applics/VanillaOptions.html,False,False,False,,,,0,False,0,
applics,bode2tf,False,True,True,True,True,True,True,True,112,True,True,https://www.chebfun.org/examples/applics/Bode2tf.html,https://www.chebfun.org/examples/applics/bode2tf.html,False,True,True,../../../docs/images/applics/bode2tf.png,../../../docs/images/applics/bode2tf.png,,57,True,1,bode2tf.png
applics,european_call,False,True,False,True,True,True,True,True,150,False,False,,https://www.chebfun.org/examples/applics/european_call.html,False,False,False,,,,0,True,1,european_call.png
applics,european_options,False,True,False,True,True,True,True,True,155,False,False,,https://www.chebfun.org/examples/applics/european_options.html,False,False,False,,,,0,True,1,european_options.png
applics,finance_applications,False,True,False,True,True,True,True,True,156,False,False,,https://www.chebfun.org/examples/applics/finance_applications.html,False,False,False,,,,0,True,1,finance_applications.png
applics,gompertz,False,True,True,True,True,True,True,True,140,True,True,https://www.chebfun.org/examples/applics/Gompertz.html,https://www.chebfun.org/examples/applics/gompertz.html,False,True,True,../../../docs/images/applics/gompertz.png,../../../docs/images/applics/gompertz.png,,59,True,1,gompertz.png
applics,greeks,False,True,False,True,True,True,True,True,173,False,False,,https://www.chebfun.org/examples/applics/greeks.html,False,False,False,,,,0,True,1,greeks.png
applics,step2tf,False,True,True,True,True,True,True,True,126,True,True,https://www.chebfun.org/examples/applics/Step2tf.html,https://www.chebfun.org/examples/applics/step2tf.html,False,True,True,../../../docs/images/applics/step2tf.png,../../../docs/images/applics/step2tf.png,,56,True,1,step2tf.png
applics,vanilla_options,False,True,False,True,True,True,True,True,155,False,False,,https://www.chebfun.org/examples/applics/vanilla_options.html,False,False,False,,,,0,True,1,vanilla_options.png
approx,AAAApprox,True,True,True,True,True,True,True,True,76,True,True,https://www.chebfun.org/examples/approx/AAAApprox.html,https://www.chebfun.org/examples/approx/AAAApprox.html,True,True,True,../../images/approx/AAAApprox.png; ../../images/approx/AAAApprox_err.png,../../images/approx/AAAApprox.png; ../../images/approx/AAAApprox_err.png,,62,True,2,AAAApprox.png; AAAApprox_err.png
approx,AAASpline,True,True,True,True,True,True,True,True,82,True,True,https://www.chebfun.org/examples/approx/AAASpline.html,https://www.chebfun.org/examples/approx/AAASpline.html,True,True,True,../../images/approx/AAASpline.png,../../images/approx/AAASpline.png,,32,True,1,AAASpline.png
approx,AAAZeros,True,True,True,True,True,True,True,True,88,True,True,https://www.chebfun.org/examples/approx/AAAZeros.html,https://www.chebfun.org/examples/approx/AAAZeros.html,True,True,True,../../images/approx/AAAZeros.png,../../images/approx/AAAZeros.png,,24,True,1,AAAZeros.png
approx,AbsoluteValue,True,True,True,True,True,True,True,True,82,True,True,https://www.chebfun.org/examples/approx/AbsoluteValue.html,https://www.chebfun.org/examples/approx/AbsoluteValue.html,True,True,True,../../images/approx/AbsoluteValue.png,../../images/approx/AbsoluteValue.png,,40,True,3,AbsoluteValue.png; AbsoluteValue_err.png; AbsoluteValueScaled.png
approx,AbsoluteValueScaled,True,True,True,True,True,True,True,True,91,True,True,https://www.chebfun.org/examples/approx/AbsoluteValueScaled.html,https://www.chebfun.org/examples/approx/AbsoluteValueScaled.html,True,True,True,../../images/approx/AbsoluteValueScaled.png,../../images/approx/AbsoluteValueScaled.png,,33,True,1,AbsoluteValueScaled.png
approx,AliasingCoefficients,True,True,True,True,True,True,True,True,63,True,True,https://www.chebfun.org/examples/approx/AliasingCoefficients.html,https://www.chebfun.org/examples/approx/AliasingCoefficients.html,True,True,True,../../images/approx/AliasingCoefficients.png,../../images/approx/AliasingCoefficients.png,,35,True,2,AliasingCoefficients.png; AliasingCoefficientsLeg.png
approx,AliasingCoefficientsLeg,True,True,True,True,True,True,True,True,87,True,True,https://www.chebfun.org/examples/approx/AliasingCoefficientsLeg.html,https://www.chebfun.org/examples/approx/AliasingCoefficientsLeg.html,True,True,True,../../images/approx/AliasingCoefficientsLeg.png,../../images/approx/AliasingCoefficientsLeg.png,,29,True,1,AliasingCoefficientsLeg.png
approx,BSplineConv,True,True,True,True,True,True,True,True,63,True,True,https://www.chebfun.org/examples/approx/BSplineConv.html,https://www.chebfun.org/examples/approx/BSplineConv.html,True,True,True,../../images/approx/BSplineConv.png,../../images/approx/BSplineConv.png,,33,True,1,BSplineConv.png
approx,BernsteinPolys,True,True,True,True,True,True,True,True,94,True,True,https://www.chebfun.org/examples/approx/BernsteinPolys.html,https://www.chebfun.org/examples/approx/BernsteinPolys.html,True,True,True,../../images/approx/BernsteinPolys.png,../../images/approx/BernsteinPolys.png,,39,True,2,BernsteinPolys_smooth.png; BernsteinPolys.png
approx,BestApprox,True,True,True,True,True,True,True,True,72,True,True,https://www.chebfun.org/examples/approx/BestApprox.html,https://www.chebfun.org/examples/approx/BestApprox.html,True,True,True,../../images/approx/BestApprox.png,../../images/approx/BestApprox.png,,34,True,1,BestApprox.png
approx,BestL1,True,True,True,True,True,True,True,True,87,True,True,https://www.chebfun.org/examples/approx/BestL1.html,https://www.chebfun.org/examples/approx/BestL1.html,True,True,True,../../images/approx/BestL1.png,../../images/approx/BestL1.png,,32,True,1,BestL1.png
approx,BestL2Approximation,True,True,True,True,True,True,True,True,92,True,True,https://www.chebfun.org/examples/approx/BestL2Approximation.html,https://www.chebfun.org/examples/approx/BestL2Approximation.html,True,True,True,../../images/approx/BestL2Approximation.png,../../images/approx/BestL2Approximation.png,,34,True,1,BestL2Approximation.png
approx,CF30,True,True,True,True,True,True,True,True,69,True,True,https://www.chebfun.org/examples/approx/CF30.html,https://www.chebfun.org/examples/approx/CF30.html,True,True,True,../../images/approx/CF30.png,../../images/approx/CF30.png,,31,True,1,CF30.png
approx,ChebfunFFT,True,True,True,True,True,True,True,True,102,True,True,https://www.chebfun.org/examples/approx/ChebfunFFT.html,https://www.chebfun.org/examples/approx/ChebfunFFT.html,True,True,True,../../images/approx/ChebfunFFT.png,../../images/approx/ChebfunFFT.png,,36,True,1,ChebfunFFT.png
approx,Checkmark,True,True,True,True,True,True,True,True,80,True,True,https://www.chebfun.org/examples/approx/Checkmark.html,https://www.chebfun.org/examples/approx/Checkmark.html,True,True,True,../../images/approx/Checkmark.png,../../images/approx/Checkmark.png,,27,True,1,Checkmark.png
approx,CommunicationSystem,True,True,True,True,True,True,True,True,87,True,True,https://www.chebfun.org/examples/approx/CommunicationSystem.html,https://www.chebfun.org/examples/approx/CommunicationSystem.html,True,True,True,../../images/approx/CommunicationSystem.png,../../images/approx/CommunicationSystem.png,,34,True,1,CommunicationSystem.png
approx,DivergentSeries,True,True,True,True,True,True,True,True,91,True,True,https://www.chebfun.org/examples/approx/DivergentSeries.html,https://www.chebfun.org/examples/approx/DivergentSeries.html,True,True,True,../../images/approx/DivergentSeries.png,../../images/approx/DivergentSeries.png,,30,True,1,DivergentSeries.png
approx,EdgeDetection,True,True,True,True,True,True,True,True,76,True,True,https://www.chebfun.org/examples/approx/EdgeDetection.html,https://www.chebfun.org/examples/approx/EdgeDetection.html,True,True,True,../../images/approx/EdgeDetection.png,../../images/approx/EdgeDetection.png,,29,True,1,EdgeDetection.png
approx,EightShades,True,True,True,True,True,True,True,True,105,True,True,https://www.chebfun.org/examples/approx/EightShades.html,https://www.chebfun.org/examples/approx/EightShades.html,True,True,True,../../images/approx/EightShades.png,../../images/approx/EightShades.png,,33,True,1,EightShades.png
approx,Entire,True,True,True,True,True,True,True,True,75,True,True,https://www.chebfun.org/examples/approx/Entire.html,https://www.chebfun.org/examples/approx/Entire.html,True,True,True,../../images/approx/Entire.png,../../images/approx/Entire.png,,27,True,3,EntireBound_runge.png; EntireBound.png; Entire.png
approx,EntireBound,True,True,True,True,True,True,True,True,83,True,True,https://www.chebfun.org/examples/approx/EntireBound.html,https://www.chebfun.org/examples/approx/EntireBound.html,True,True,True,../../images/approx/EntireBound.png,../../images/approx/EntireBound.png,,32,True,2,EntireBound_runge.png; EntireBound.png
approx,EquispacedData,True,True,True,True,True,True,True,True,81,True,True,https://www.chebfun.org/examples/approx/EquispacedData.html,https://www.chebfun.org/examples/approx/EquispacedData.html,True,True,True,../../images/approx/EquispacedData.png,../../images/approx/EquispacedData.png,,35,True,1,EquispacedData.png
approx,FermiDirac,True,True,True,True,True,True,True,True,79,True,True,https://www.chebfun.org/examples/approx/FermiDirac.html,https://www.chebfun.org/examples/approx/FermiDirac.html,True,True,True,../../images/approx/FermiDirac.png,../../images/approx/FermiDirac.png,,25,True,1,FermiDirac.png
approx,FiltersCF,True,True,True,True,True,True,True,True,80,True,True,https://www.chebfun.org/examples/approx/FiltersCF.html,https://www.chebfun.org/examples/approx/FiltersCF.html,True,True,True,../../images/approx/FiltersCF.png,../../images/approx/FiltersCF.png,,30,True,1,FiltersCF.png
approx,Galleries,True,True,True,True,True,True,True,True,88,True,True,https://www.chebfun.org/examples/approx/Galleries.html,https://www.chebfun.org/examples/approx/Galleries.html,True,False,True,../../images/approx/Galleries.png,../../images/approx/Galleries.png,,30,True,1,Galleries.png
approx,GammaFun,True,True,True,True,True,True,True,True,87,True,True,https://www.chebfun.org/examples/approx/GammaFun.html,https://www.chebfun.org/examples/approx/GammaFun.html,True,True,True,../../images/approx/GammaFun.png,../../images/approx/GammaFun.png,,34,True,1,GammaFun.png
approx,GreedyInterp,True,True,True,True,True,True,True,True,109,True,True,https://www.chebfun.org/examples/approx/GreedyInterp.html,https://www.chebfun.org/examples/approx/GreedyInterp.html,True,True,True,../../images/approx/GreedyInterp.png,../../images/approx/GreedyInterp.png,,36,True,1,GreedyInterp.png
approx,Halphen,True,True,True,True,True,True,True,True,83,True,True,https://www.chebfun.org/examples/approx/Halphen.html,https://www.chebfun.org/examples/approx/Halphen.html,True,True,True,../../images/approx/Halphen.png,../../images/approx/Halphen.png,,29,True,1,Halphen.png
approx,HermiteBasis,True,True,True,True,True,True,True,True,122,True,True,https://www.chebfun.org/examples/approx/HermiteBasis.html,https://www.chebfun.org/examples/approx/HermiteBasis.html,True,True,True,../../images/approx/HermiteBasis.png,../../images/approx/HermiteBasis.png,,32,True,2,HermiteBasis_interp.png; HermiteBasis.png
approx,Inpainting1D,True,True,True,True,True,True,True,True,84,True,True,https://www.chebfun.org/examples/approx/Inpainting1D.html,https://www.chebfun.org/examples/approx/Inpainting1D.html,True,True,True,../../images/approx/Inpainting1D.png,../../images/approx/Inpainting1D.png,,35,True,1,Inpainting1D.png
approx,InteractiveInterp,True,True,True,True,True,True,True,True,99,True,True,https://www.chebfun.org/examples/approx/InteractiveInterp.html,https://www.chebfun.org/examples/approx/InteractiveInterp.html,True,True,True,../../images/approx/InteractiveInterp.png,../../images/approx/InteractiveInterp.png,,39,True,1,InteractiveInterp.png
approx,LebesgueConst,True,True,True,True,True,True,True,True,109,True,True,https://www.chebfun.org/examples/approx/LebesgueConst.html,https://www.chebfun.org/examples/approx/LebesgueConst.html,True,True,True,../../images/approx/LebesgueConst.png,../../images/approx/LebesgueConst.png,,42,True,1,LebesgueConst.png
approx,Local,True,True,True,True,True,True,True,True,74,True,True,https://www.chebfun.org/examples/approx/Local.html,https://www.chebfun.org/examples/approx/Local.html,True,True,True,../../images/approx/Local.png,../../images/approx/Local.png,,33,True,1,Local.png
approx,MinimaxSqrt,True,True,True,True,True,True,True,True,91,True,True,https://www.chebfun.org/examples/approx/MinimaxSqrt.html,https://www.chebfun.org/examples/approx/MinimaxSqrt.html,True,True,True,../../images/approx/MinimaxSqrt.png,../../images/approx/MinimaxSqrt.png,,30,True,1,MinimaxSqrt.png
approx,NearestOrthFun,True,True,True,True,True,True,True,True,100,True,True,https://www.chebfun.org/examples/approx/NearestOrthFun.html,https://www.chebfun.org/examples/approx/NearestOrthFun.html,True,True,True,../../images/approx/NearestOrthFun.png,../../images/approx/NearestOrthFun.png,,31,True,1,NearestOrthFun.png
approx,Noisy,True,True,True,True,True,True,True,True,86,True,True,https://www.chebfun.org/examples/approx/Noisy.html,https://www.chebfun.org/examples/approx/Noisy.html,True,True,True,../../images/approx/Noisy.png,../../images/approx/Noisy.png,,29,True,2,Noisy.png; NoisyNonsmooth.png
approx,NoisyNonsmooth,True,True,True,True,True,True,True,True,83,True,True,https://www.chebfun.org/examples/approx/NoisyNonsmooth.html,https://www.chebfun.org/examples/approx/NoisyNonsmooth.html,True,True,True,../../images/approx/NoisyNonsmooth.png,../../images/approx/NoisyNonsmooth.png,,32,True,1,NoisyNonsmooth.png
