matlab_cat,matlab_name,python_cat,python_name,doc_cat,doc_name,match_method,has_script,has_doc,chebfun_url,doc_images_missing,script_lines,has_savefig,has_chebfun_style,has_run_func,image_count
applics,Bode2tf,applics,bode2tf,applics,bode2tf,doc_link,True,True,https://www.chebfun.org/examples/applics/Bode2tf.html,,112,True,True,True,1
applics,Gompertz,applics,gompertz,applics,gompertz,doc_link,True,True,https://www.chebfun.org/examples/applics/Gompertz.html,,140,True,True,True,1
applics,Step2tf,applics,step2tf,applics,step2tf,doc_link,True,True,https://www.chebfun.org/examples/applics/Step2tf.html,,126,True,True,True,1
approx,Inpainting1D,approx,Inpainting1D,approx,Inpainting1D,doc_link,True,True,https://www.chebfun.org/examples/approx/Inpainting1D.html,,84,True,True,True,1
approx,Entire,approx,Entire,approx,Entire,doc_link,True,True,https://www.chebfun.org/examples/approx/Entire.html,,75,True,True,True,3
approx,Pushnitski,approx,Pushnitski,approx,Pushnitski,doc_link,True,True,https://www.chebfun.org/examples/approx/Pushnitski.html,,76,True,True,True,1
approx,OrthPolys,approx,orthogonal_polynomials,approx,orthogonal_polynomials,doc_link,True,True,https://www.chebfun.org/examples/approx/OrthPolys.html,,103,True,True,True,1
approx,FermiDirac,approx,FermiDirac,approx,FermiDirac,doc_link,True,True,https://www.chebfun.org/examples/approx/FermiDirac.html,,79,True,True,True,1
approx,NearestOrthFun,approx,NearestOrthFun,approx,NearestOrthFun,doc_link,True,True,https://www.chebfun.org/examples/approx/NearestOrthFun.html,,100,True,True,True,1
approx,Checkmark,approx,Checkmark,approx,Checkmark,doc_link,True,True,https://www.chebfun.org/examples/approx/Checkmark.html,,80,True,True,True,1
approx,LebesgueConst,approx,LebesgueConst,approx,LebesgueConst,doc_link,True,True,https://www.chebfun.org/examples/approx/LebesgueConst.html,,109,True,True,True,1
approx,Entire,approx,polynomial_convergence,approx,polynomial_convergence,doc_link,True,True,https://www.chebfun.org/examples/approx/Entire.html,,94,True,True,True,2
approx,RationalInterp,approx,RationalInterp,approx,RationalInterp,doc_link,True,True,https://www.chebfun.org/examples/approx/RationalInterp.html,,94,True,True,True,1
approx,Splines,approx,Splines,approx,Splines,doc_link,True,True,https://www.chebfun.org/examples/approx/Splines.html,,81,True,True,True,1
approx,LebesgueConst,approx,lebesgue_constants,approx,lebesgue_constants,doc_link,True,True,https://www.chebfun.org/examples/approx/LebesgueConst.html,,146,True,True,True,1
approx,EightShades,approx,EightShades,approx,EightShades,doc_link,True,True,https://www.chebfun.org/examples/approx/EightShades.html,,105,True,True,True,1
approx,BSplineConv,approx,BSplineConv,approx,BSplineConv,doc_link,True,True,https://www.chebfun.org/examples/approx/BSplineConv.html,,63,True,True,True,1
approx,CF30,approx,CF30,approx,CF30,doc_link,True,True,https://www.chebfun.org/examples/approx/CF30.html,,69,True,True,True,1
approx,RationalAbsx,approx,RationalAbsx,approx,RationalAbsx,doc_link,True,True,https://www.chebfun.org/examples/approx/RationalAbsx.html,,86,True,True,True,1
approx,AliasingCoefficients,approx,AliasingCoefficients,approx,AliasingCoefficients,doc_link,True,True,https://www.chebfun.org/examples/approx/AliasingCoefficients.html,,63,True,True,True,2
approx,Galleries,approx,Galleries,approx,Galleries,doc_link,True,True,https://www.chebfun.org/examples/approx/Galleries.html,,88,True,True,True,1
approx,EntireBound,approx,EntireBound,approx,EntireBound,doc_link,True,True,https://www.chebfun.org/examples/approx/EntireBound.html,,83,True,True,True,2
approx,BestL2Approximation,approx,BestL2Approximation,approx,BestL2Approximation,doc_link,True,True,https://www.chebfun.org/examples/approx/BestL2Approximation.html,,92,True,True,True,1
approx,AAAApprox,approx,AAAApprox,approx,AAAApprox,doc_link,True,True,https://www.chebfun.org/examples/approx/AAAApprox.html,,76,True,True,True,2
